Priority,Component,Issue,AffectedRows,CurrentTreatment,Action
Documented adjustment,Charter building inputs,A calculator building total differs from the shared charter total.,1,The shared total is retained. Student counts use largest remainder after applying calculator shares; vocational values retain full precision.,Review 06_proposed_charter_reconciliation.csv.
Calculator-reproduced structure,School-based positions,Districts use school codes while charters use calculator building rows.,,School-based Base formulas are calculated for each unit and rolled to the official school or charter.,Maintain the calculator structure and LEA crosswalk when sources change.
Documented method,Charter building inputs,The shared charter total remains authoritative.,,Calculator category shares distribute the shared total; student counts use largest remainder and enrollment shares are the fallback.,Review the charter reconciliation after each source update.
Confirmed policy,Operational Funding - Enrollment,Operational Enrollment uses total enrollment.,,The pipeline applies total enrollment multiplied by 0.20.,Revise only if the confirmed policy changes.
Externally provided implementation guidance,Opportunity and Operational Funding,"Per guidance from Nick Johnson, POLYTECH School District Opportunity and Operational Funding are treated as fixed statewide pools.",,The pool amounts come from Copy of Calculator for 25-26 w Charter (003).xlsm and the per-weighted-student rates are recalculated whenever eligible weighted counts or the reporting scope change.,Update the pool amounts when the authoritative source changes; revise the recalculation method only if the implementation guidance changes.
Documented assumption,Dover Air Force Base,DAFB is calculated normally and excluded from statewide totals.,,IncludeInStatewide is FALSE for DAFB.,Change lea_crosswalk.csv only if the statewide universe changes.
Documented implementation choice,Assistant Superintendent,"The workbook formula appears to allow a proportional second position, but the proposed rule does not explicitly authorize fractions.",,"The pipeline applies completed 300-position thresholds to Total Base positions, capped at two, following the current-model default rule.",Revise only if fractional eligibility is explicitly confirmed.
Documented interpretation,Central Office position base,"Assistant Superintendent, Director, and 11-Month Supervisor use Total Base positions: Base Division I plus Principal, Assistant Principal, Administrative Support Professionals, and Instructional Supports.",,"Food Services Supervisor continues to use the narrower Base Division I subtotal, consistent with the calculator rule.",Maintain the Base subtotal definitions when formulas or source workbooks change.
Calculator-reproduced rule,Instructional Supports,Instructional Supports equal 20 percent of all Base Division I positions.,,The factor is applied to school calculation units and to non-school vocational/program adjustment rows with Base Division I positions.,Revise the 0.20 factor or eligible position base only if the policy changes.
Difference from calculator,Additional State Funding,The calculator includes an optional 50/50 split without a supporting written rule.,,The optional amount is excluded.,Add it only after written confirmation.
