FundingSection,Component,RateComponent,QuantityType,SourceField,Rule
Base Funding (State Support),Division I Teacher - K-3 Regular Education,Division I Teacher - K-3 Regular Education,Position,EnrollmentK3,Regular K-3 enrollment divided by 16.2.
Base Funding (State Support),Division I Teacher - 4-12 Regular Education,Division I Teacher - 4-12 Regular Education,Position,Enrollment4_12,Regular 4-12 enrollment divided by 20.
Base Funding (State Support),Division I Teacher - Pre-K-12 Basic Special Education,Division I Teacher - Basic Special Education,Position,BasicPreK12Enrollment,Basic Pre-K special education plus Basic K-12 enrollment divided by 8.4.
Base Funding (State Support),Division I Teacher - Intensive Special Education,Division I Teacher - Intensive Special Education,Position,EnrollmentIntense,Intensive enrollment divided by 6.
Base Funding (State Support),Division I Teacher - Complex Special Education,Division I Teacher - Complex Special Education,Position,EnrollmentComplex,Complex enrollment divided by 2.6.
Base Funding (State Support),Vocational Deduct,Vocational Division I / Vocational Deduct,Position,UnitsVocationalDeduct,"Use the shared vocational deduction, allocated across charter buildings when needed."
Base Funding (State Support),Vocational Division I,Vocational Division I / Vocational Deduct,Position,UnitsVocational,"Use the shared vocational positions, allocated across charter buildings when needed."
Base Funding (State Support),Principal,Principal,Position,School calculation unit,One per district school code or charter calculator building.
Base Funding (State Support),Instructional Supports,Instructional Supports,Position,BaseDivisionIPositions,Twenty percent of Base Division I positions.
Base Funding (State Support),Administrative Support Professionals,Administrative Support Professionals,Position,AdministrativeSupportBase,One per 10 positions through 100; one per completed 12 thereafter.
Base Funding (State Support),Assistant Principal,Assistant Principal,Position,AssistantPrincipalBase,"Apply the 25, 30, 50, 55, and additional 20-position thresholds."
Opportunity Funding (State Support),Opportunity Funding - Low Income,Opportunity Funding - Low Income,Weighted student,LI,Low-income enrollment multiplied by 0.675.
Opportunity Funding (State Support),Opportunity Funding - Multilingual Learner,Opportunity Funding - Multilingual Learner,Weighted student,MLL,Multilingual learner enrollment multiplied by 0.47.
Operational Funding (State Support),Operational Funding - Enrollment,Operational Funding - Enrollment,Weighted student,OperationalEnrollmentCount,The selected operational enrollment count multiplied by 0.20.
Operational Funding (State Support),Operational Funding - Low Income,Operational Funding - Low Income,Weighted student,LI,Low-income enrollment multiplied by 0.675.
Operational Funding (State Support),Operational Funding - Multilingual Learner,Operational Funding - Multilingual Learner,Weighted student,MLL,Multilingual learner enrollment multiplied by 0.47.
Operational Funding (State Support),Operational Funding - Basic Special Education,Operational Funding - Basic Special Education,Weighted student,EnrollmentPreK + EnrollmentBasicK12,Basic Pre-K special education plus Basic K-12 enrollment multiplied by 0.48.
Operational Funding (State Support),Operational Funding - Intensive Special Education,Operational Funding - Intensive Special Education,Weighted student,EnrollmentIntense,Intensive enrollment multiplied by 0.67.
Operational Funding (State Support),Operational Funding - Complex Special Education,Operational Funding - Complex Special Education,Weighted student,EnrollmentComplex,Complex enrollment multiplied by 1.54.
Operational Funding (State Support),Operational Funding - Vocational,Operational Funding - Vocational,Weighted student,VocationalEnrollment,Calculator vocational enrollment multiplied by 0.20.
Central Office Funding (State Support),Superintendent,Superintendent,Position,LEA,One position per LEA.
Central Office Funding (State Support),Administrative Assistant,Administrative Assistant,Position,LEA,One position per LEA.
Central Office Funding (State Support),Assistant Superintendent,Assistant Superintendent,Position,UnitsTotal,"One per completed 300 Division I positions, capped at two."
Central Office Funding (State Support),Director,Director,Position,UnitsTotal,"One at 200 positions plus one per completed additional 100, capped at six."
Central Office Funding (State Support),11-Month Supervisor,11-Month Supervisor,Position,UnitsTotal,Division I positions divided by 150.
Central Office Funding (State Support),Buildings and Grounds Supervisor,Buildings and Grounds Supervisor,Position,LEA,One position per LEA.
Central Office Funding (State Support),Food Services Supervisor,Food Services Supervisor,Position,UnitsTotal,One per LEA plus one per completed 500 positions beyond the first 500.
Central Office Funding (State Support),Transportation Supervisor,Transportation Supervisor,Position,Enrollment,"Enrollment divided by 7,500."
Central Office Funding (State Support),Reading Cadre,Reading Cadre,Position,LEA,One position per LEA.
