Check,Value,Status,Treatment
Coded schools,232,Info,Used in school-based current-model formulas.
No-code vocational/program records,5,Info,Retain vocational positions and deductions only.
Schools missing custodian positions,232,Needs data,Custodian positions remain missing.
Charters missing satellite cafeteria counts,24,Needs review,A provisional base 0.73 cafeteria-manager quantity is shown but marked incomplete.
Schools requiring lunch-program indicators,50,Info,Indicators are required only for district or DAFB LEAs with fewer than 500 units.
Required lunch-program indicators completed,0,Info,Completed required 0/1 indicators are counted.
Required lunch-program indicators missing,50,Needs data,Missing required indicators are not treated as zero.
Formula-relevant LEAs with incomplete lunch-program indicators,11,Needs data,The relevant LEA lunch-building count remains blank until all required school indicators are completed.
LEAs missing custodial units,44,Needs data,Buildings and Grounds Supervisor remains missing.
Formula-relevant LEAs missing school-lunch building counts,11,Needs data,Food Services Supervisor remains incomplete when the relevant count is missing.
